,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
0,11504798,Female,20,1,47,0,< 1 Year,No,2630,160,228
1,11504799,Male,47,1,28,0,1-2 Year,Yes,37483,124,123
2,11504800,Male,47,1,43,0,1-2 Year,Yes,2630,26,271
3,11504801,Female,22,1,47,1,< 1 Year,No,24502,152,115
4,11504802,Male,51,1,19,0,1-2 Year,No,34115,124,148
5,11504803,Male,22,1,30,1,< 1 Year,No,25715,152,245
6,11504804,Female,23,1,20,0,< 1 Year,Yes,2630,152,11
7,11504805,Female,21,1,37,1,< 1 Year,Yes,2630,160,171
8,11504806,Male,72,1,43,1,1-2 Year,No,38495,124,97
9,11504807,Male,33,1,28,1,< 1 Year,No,46937,152,72
10,11504808,Male,67,1,48,0,1-2 Year,Yes,2630,29,225
11,11504809,Male,34,1,29,0,< 1 Year,No,2630,1,102
12,11504810,Female,25,1,28,1,< 1 Year,No,29574,152,36
13,11504811,Female,24,1,47,1,< 1 Year,No,36601,152,292
14,11504812,Male,45,1,11,1,1-2 Year,No,2630,122,250
15,11504813,Female,65,1,28,0,1-2 Year,No,2630,26,152
16,11504814,Male,40,1,28,1,1-2 Year,No,58712,26,278
17,11504815,Female,24,1,21,1,< 1 Year,No,28963,152,55
18,11504816,Male,35,1,10,1,1-2 Year,Yes,2630,156,193
19,11504817,Male,40,1,0,0,1-2 Year,No,2630,55,106
20,11504818,Male,47,1,36,0,1-2 Year,Yes,47423,124,73
21,11504819,Female,26,1,28,0,1-2 Year,Yes,2630,156,210
22,11504820,Male,41,1,28,0,1-2 Year,Yes,33160,124,131
23,11504821,Male,66,1,28,0,1-2 Year,Yes,43573,25,92
24,11504822,Male,24,1,41,1,< 1 Year,No,40900,152,282
25,11504823,Male,31,1,28,0,< 1 Year,Yes,50579,152,263
26,11504824,Female,39,1,28,1,1-2 Year,No,46171,26,152
27,11504825,Female,24,1,45,1,< 1 Year,No,27751,152,234
28,11504826,Female,80,1,28,0,1-2 Year,Yes,49163,52,277
29,11504827,Male,52,1,28,1,1-2 Year,No,29230,26,21
30,11504828,Male,35,1,28,1,1-2 Year,No,37695,26,19
31,11504829,Female,72,1,36,0,1-2 Year,Yes,33890,26,33
32,11504830,Female,25,1,36,0,< 1 Year,Yes,48008,152,114
33,11504831,Female,28,1,35,1,< 1 Year,No,44667,152,226
34,11504832,Female,28,1,8,0,< 1 Year,Yes,47210,152,276
35,11504833,Male,34,1,8,0,1-2 Year,Yes,43941,26,296
36,11504834,Male,25,1,29,1,< 1 Year,No,29077,152,55
37,11504835,Female,50,1,28,0,1-2 Year,Yes,35018,26,127
38,11504836,Male,40,1,21,1,1-2 Year,No,47606,124,295
